STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2012,,127.672,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2013,,128.172,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2014,,129.783,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2015,,135.961,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2016,,137.317,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2017,,139.058,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2018,,145.179,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2019,,151.847,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2020,,150.638,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2021,,150.971,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2022,,160.768,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DE,Germany,2023,,170.739,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",DK,Denmark,2000,,100,,,,,
